Date,open,high,low,close,AVG
2017-07-10,1.2889,1.2906,1.2858,1.2889,1.2885499999999999
2017-07-11,1.2879,1.292,1.2831,1.2879,1.287725
2017-07-12,1.2857,1.2902,1.281,1.2857,1.28565
2017-07-13,1.2891,1.295,1.2888,1.2891,1.2905
2017-07-14,1.2945,1.3109,1.2934,1.2945,1.298325
2017-07-16,1.3107,1.3111,1.3099,1.3107,1.3106
2017-07-17,1.3108,1.3109,1.3045,1.3108,1.30925
2017-07-18,1.305,1.3123,1.3003,1.305,1.30565
2017-07-19,1.3034,1.305,1.3011,1.3034,1.3032249999999999
2017-07-20,1.3028,1.303,1.2934,1.3028,1.3005
2017-07-21,1.2963,1.3017,1.2952,1.2963,1.2973750000000002
2017-07-23,1.2992,1.3007,1.2992,1.2992,1.299575
2017-07-24,1.3003,1.3048,1.299,1.3003,1.3011
2017-07-25,1.3024,1.308,1.3009,1.3024,1.3034249999999998
2017-07-26,1.3025,1.3125,1.3001,1.3025,1.3044
2017-07-27,1.3112,1.3154,1.3052,1.3112,1.3107499999999999
2017-07-28,1.3074,1.315,1.3067,1.3074,1.3091249999999999
2017-07-30,1.3133,1.3148,1.3133,1.3133,1.313675
2017-07-31,1.3142,1.3222,1.3097,1.3142,1.315075
2017-08-01,1.3195,1.3242,1.3195,1.3195,1.3206749999999998
2017-08-02,1.3206,1.3248,1.319,1.3206,1.32125
2017-08-03,1.3225,1.3258,1.3112,1.3225,1.3205
2017-08-04,1.3142,1.3162,1.3021,1.3142,1.3116750000000001
2017-08-06,1.3042,1.3052,1.3039,1.3042,1.3043749999999998
2017-08-07,1.3044,1.3057,1.3012,1.3044,1.303925
2017-08-08,1.3033,1.3051,1.2952,1.3033,1.3017249999999998
